ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
H66	J20	210	1457	3273	49230	1.6787096879821124e-26	5.2659294365455505e-06	0.00034228541337546077
F83	F89	20	206	126	49230	6.084271274293091e-26	5.2659294365455505e-06	0.00034755134281200636
N10	A41	35	663	235	49230	7.296232366732907e-26	5.2659294365455505e-06	0.0003528172722485519
J45	L20	43	778	340	49230	1.0176184501417633e-25	5.2659294365455505e-06	0.0003580832016850974
G80	G81	16	154	71	49230	1.0412719710988673e-25	5.2659294365455505e-06	0.000363349131121643
C91	C95	10	90	14	49230	2.47270337571757e-25	5.2659294365455505e-06	0.00036861506055818854
I42	I50	9	31	21	49230	1.2608143770331644e-24	5.2659294365455505e-06	0.0003738809899947341
J18	J90	29	2184	58	49230	4.165046252742173e-24	5.2659294365455505e-06	0.0003791469194312796
C71	G93	14	69	113	49230	6.798868373489445e-24	5.2659294365455505e-06	0.0003844128488678252
H66	J18	155	1457	2184	49230	8.3766949577367e-24	5.2659294365455505e-06	0.00038967877830437073
M13	M25	16	128	111	49230	1.0941838323756629e-23	5.2659294365455505e-06	0.00039494470774091627
E87	A09	116	462	4578	49230	1.7632764747484707e-23	5.2659294365455505e-06	0.00040021063717746185
N10	N12	29	663	174	49230	4.456744888476343e-23	5.2659294365455505e-06	0.0004054765666140074
F82	F83	17	97	206	49230	5.313730855955145e-23	5.2659294365455505e-06	0.0004107424960505529
G82	G93	15	108	113	49230	7.219179264877286e-23	5.2659294365455505e-06	0.0004160084254870985
A08	L22	178	6031	692	49230	1.8283525004113926e-22	5.2659294365455505e-06	0.00042127435492364404
H66	H92	27	1457	75	49230	1.9608874111797796e-22	5.2659294365455505e-06	0.0004265402843601896
F83	G82	17	206	108	49230	3.721651274520625e-22	5.2659294365455505e-06	0.00043180621379673516
B37	J00	103	1048	1670	49230	7.297306927658448e-22	5.2659294365455505e-06	0.0004370721432332807
G81	I63	9	71	19	49230	1.4543142632705504e-21	5.2659294365455505e-06	0.00044233807266982623
F82	G40	26	97	1089	49230	4.333482839175833e-21	5.2659294365455505e-06	0.0004476040021063718
H05	J01	13	57	157	49230	4.608274316739115e-21	5.2659294365455505e-06	0.00045286993154291735
C71	D33	8	69	14	49230	2.9167142952755483e-20	5.2659294365455505e-06	0.0004581358609794629
G40	J96	44	1089	354	49230	3.072127676597976e-20	5.2659294365455505e-06	0.0004634017904160085
H73	J02	23	104	786	49230	7.000171960529621e-20	5.2659294365455505e-06	0.000468667719852554
N12	N13	30	174	963	49230	1.0694933188228333e-19	5.2659294365455505e-06	0.00047393364928909954
H50	H55	16	564	48	49230	1.1463838754103276e-19	5.2659294365455505e-06	0.0004791995787256451
G40	G81	22	1089	71	49230	1.3927539700592597e-19	5.2659294365455505e-06	0.00048446550816219066
C71	G91	12	69	123	49230	2.6647533949090053e-19	5.2659294365455505e-06	0.0004897314375987362
I47	J96	17	94	354	49230	3.186198830646204e-19	5.2659294365455505e-06	0.0004949973670352818
J00	J18	158	1670	2184	49230	3.2117337765289187e-19	5.2659294365455505e-06	0.0005002632964718273
B37	J21	60	1048	718	49230	3.725007191783791e-19	5.2659294365455505e-06	0.0005055292259083729
D69	D70	16	298	91	49230	3.753641230228676e-19	5.2659294365455505e-06	0.0005107951553449184
