ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
J34	M95	96	625	140	36926	1.216394230511348e-137	7.017543859649123e-06	7.017543859649123e-06
F32	F43	298	1008	2038	36926	6.161250283132335e-136	7.017543859649123e-06	1.4035087719298246e-05
F43	F60	218	2038	558	36926	8.788205541815745e-127	7.017543859649123e-06	2.105263157894737e-05
F32	F60	163	1008	558	36926	1.5373694630891197e-120	7.017543859649123e-06	2.8070175438596492e-05
K01	K07	96	648	382	36926	4.1809869285849344e-82	7.017543859649123e-06	3.508771929824561e-05
J32	J34	75	224	625	36926	9.431574853872439e-76	7.017543859649123e-06	4.210526315789474e-05
H65	J35	133	274	2996	36926	8.337183319872845e-71	7.017543859649123e-06	4.9122807017543864e-05
F33	F60	65	185	558	36926	1.497665544662765e-70	7.017543859649123e-06	5.6140350877192984e-05
K21	K29	84	220	1142	36926	2.76475485507573e-68	7.017543859649123e-06	6.31578947368421e-05
F43	F92	114	2038	284	36926	1.194817561452369e-67	7.017543859649123e-06	7.017543859649122e-05
F32	F50	115	1008	630	36926	2.8276311935623986e-60	7.017543859649123e-06	7.719298245614036e-05
N13	N20	42	245	140	36926	4.8305091037203425e-58	7.017543859649123e-06	8.421052631578948e-05
E10	E16	38	476	58	36926	5.0721980156096185e-58	7.017543859649123e-06	9.12280701754386e-05
E66	I10	54	804	142	36926	3.1722229129851233e-52	7.017543859649123e-06	9.824561403508773e-05
E86	A08	59	181	900	36926	1.6759710921897994e-49	7.017543859649123e-06	0.00010526315789473685
B98	K29	30	30	1142	36926	3.533964014332699e-46	7.017543859649123e-06	0.00011228070175438597
F83	G40	44	94	887	36926	8.393083843522271e-46	7.017543859649123e-06	0.00011929824561403509
F32	F33	58	1008	185	36926	8.648777407388868e-45	7.017543859649123e-06	0.0001263157894736842
D50	K50	41	352	184	36926	6.728107627002434e-44	7.017543859649123e-06	0.00013333333333333334
F91	F92	37	175	284	36926	2.5341535440792568e-42	7.017543859649123e-06	0.00014035087719298245
F50	F60	73	630	558	36926	4.104195757135675e-42	7.017543859649123e-06	0.00014736842105263158
M51	M54	35	87	519	36926	6.09301668181444e-42	7.017543859649123e-06	0.0001543859649122807
C71	E23	22	118	56	36926	3.08915679575759e-41	7.017543859649123e-06	0.00016140350877192982
C71	E89	19	118	30	36926	4.452250956072325e-41	7.017543859649123e-06	0.00016842105263157895
F43	F93	83	2038	258	36926	7.732648034338412e-41	7.017543859649123e-06	0.00017543859649122808
E66	E90	23	804	23	36926	4.337783989084908e-39	7.017543859649123e-06	0.0001824561403508772
G80	G82	21	96	70	36926	1.7173737639111918e-38	7.017543859649123e-06	0.00018947368421052632
E84	K86	15	47	28	36926	1.1285390469354975e-37	7.017543859649123e-06	0.00019649122807017546
F43	F91	66	2038	175	36926	1.3104239526470436e-37	7.017543859649123e-06	0.00020350877192982456
N10	N39	86	452	1329	36926	2.76459292838284e-37	7.017543859649123e-06	0.0002105263157894737
C71	H53	24	118	126	36926	3.2545992396454356e-36	7.017543859649123e-06	0.0002175438596491228
D69	D70	20	139	50	36926	3.354029942194502e-36	7.017543859649123e-06	0.00022456140350877193
F43	F70	49	2038	96	36926	6.36761455310663e-36	7.017543859649123e-06	0.00023157894736842107
F43	F50	124	2038	630	36926	1.0344452874219853e-35	7.017543859649123e-06	0.00023859649122807017
E66	K76	36	804	98	36926	1.5204577914487983e-34	7.017543859649123e-06	0.0002456140350877193
