ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
K29	K44	725	4226	1533	90827	0.0	8.214901831923108e-07	3.2859607327692434e-06
E11	E78	949	3013	5849	90827	0.0	8.214901831923108e-07	5.750431282346176e-06
F17	J44	475	2408	1815	90827	0.0	8.214901831923108e-07	4.107450915961554e-06
E11	I10	1939	3013	12846	90827	0.0	8.214901831923108e-07	4.928941099153865e-06
I21	I25	357	615	2052	90827	0.0	8.214901831923108e-07	1.6429803663846217e-06
M23	M94	455	4144	563	90827	0.0	8.214901831923108e-07	2.4644705495769324e-06
N13	N20	259	643	931	90827	0.0	8.214901831923108e-07	8.214901831923108e-07
E11	E66	853	3013	3765	90827	0.0	8.214901831923108e-07	6.571921465538487e-06
E66	I10	2212	3765	12846	90827	0.0	8.214901831923108e-07	1.3143842931076974e-05
N92	D25	637	2914	2323	90827	0.0	8.214901831923108e-07	7.393411648730797e-06
K21	K44	594	2059	1533	90827	0.0	8.214901831923108e-07	9.03639201511542e-06
C78	C79	222	722	519	90827	0.0	8.214901831923108e-07	8.214901831923109e-06
I10	I25	1257	12846	2052	90827	0.0	8.214901831923108e-07	1.1500862564692352e-05
K21	K29	804	2059	4226	90827	0.0	8.214901831923108e-07	1.0679372381500041e-05
E66	E78	1060	3765	5849	90827	0.0	8.214901831923108e-07	1.2322352747884662e-05
M17	M23	694	2442	4144	90827	0.0	8.214901831923108e-07	9.85788219830773e-06
M51	M54	1017	3015	4910	90827	0.0	8.214901831923108e-07	1.4786823297461595e-05
E78	I25	876	5849	2052	90827	0.0	8.214901831923108e-07	1.3965333114269285e-05
E78	I10	3231	5849	12846	90827	0.0	8.214901831923108e-07	1.5608313480653908e-05
J32	J34	228	740	608	90827	1.186e-321	8.214901831923108e-07	1.6429803663846217e-05
E78	F17	736	5849	2408	90827	7.418054128939298e-298	8.214901831923108e-07	1.7251293847038527e-05
G55	M51	250	353	3015	90827	4.455690930845788e-285	8.214901831923108e-07	1.807278403023084e-05
M42	M54	351	637	4910	90827	2.3184833133973287e-268	8.214901831923108e-07	1.889427421342315e-05
M47	M54	469	1302	4910	90827	6.920190071342375e-255	8.214901831923108e-07	1.971576439661546e-05
E03	I10	1056	2599	12846	90827	6.501028504683294e-249	8.214901831923108e-07	2.0537254579807772e-05
F17	I10	1002	2408	12846	90827	1.5457594797695358e-245	8.214901831923108e-07	2.1358744763000082e-05
F33	F45	284	2228	814	90827	6.212617595911883e-244	8.214901831923108e-07	2.2180234946192392e-05
N84	N95	487	2748	2583	90827	7.297465394362071e-242	8.214901831923108e-07	2.3001725129384705e-05
M53	M54	444	1236	4910	90827	2.0161835479826897e-240	8.214901831923108e-07	2.3823215312577015e-05
H25	H52	216	2013	422	90827	2.26455886181627e-239	8.214901831923108e-07	2.4644705495769324e-05
K29	K63	571	4226	2420	90827	3.4633571566214446e-239	8.214901831923108e-07	2.5466195678961637e-05
M42	M47	219	637	1302	90827	1.9389500959203687e-238	8.214901831923108e-07	2.6287685862153947e-05
I10	K76	851	12846	1881	90827	6.922498298557414e-238	8.214901831923108e-07	2.7109176045346257e-05
M23	M24	278	4144	503	90827	6.580482288775156e-233	8.214901831923108e-07	2.793066622853857e-05
I20	I25	270	827	2052	90827	1.7040652790554228e-232	8.214901831923108e-07	2.875215641173088e-05
F32	I10	1289	3692	12846	90827	1.6050700736488064e-231	8.214901831923108e-07	2.957364659492319e-05
F10	F33	336	1382	2228	90827	2.075384591507384e-231	8.214901831923108e-07	3.0395136778115502e-05
E78	K76	564	5849	1881	90827	1.9256872933396163e-221	8.214901831923108e-07	3.1216626961307815e-05
F10	K70	159	1382	262	90827	1.9331333508617004e-219	8.214901831923108e-07	3.203811714450012e-05
M22	M23	239	384	4144	90827	1.1273565815593486e-217	8.214901831923108e-07	3.2859607327692435e-05
E66	G47	411	3765	1490	90827	6.9334591258720196e-217	8.214901831923108e-07	3.368109751088475e-05
M19	M75	306	1152	2392	90827	3.215970695351466e-213	8.214901831923108e-07	3.4502587694077054e-05
K57	K63	418	2500	2420	90827	5.1218263828806796e-207	8.214901831923108e-07	3.532407787726937e-05
I10	J44	783	12846	1815	90827	1.6743790996127063e-202	8.214901831923108e-07	3.614556806046168e-05
