ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
J34	M95	79	677	127	31778	9.422570660395537e-100	9.900990099009901e-06	9.900990099009901e-06
H65	J35	147	326	1756	31778	4.045746973149772e-96	9.900990099009901e-06	1.9801980198019803e-05
J32	J34	91	239	677	31778	4.9537458645814306e-89	9.900990099009901e-06	2.9702970297029702e-05
F32	F43	149	521	1268	31778	9.250781828872667e-85	9.900990099009901e-06	3.9603960396039605e-05
K21	K29	58	166	486	31778	1.044689799211244e-62	9.900990099009901e-06	4.950495049504951e-05
E10	E16	37	461	48	31778	4.306823875182323e-59	9.900990099009901e-06	5.9405940594059404e-05
F81	F90	49	118	549	31778	7.558419856499188e-55	9.900990099009901e-06	6.930693069306931e-05
E66	K76	52	653	126	31778	5.278123810948729e-54	9.900990099009901e-06	7.920792079207921e-05
K01	K07	46	320	165	31778	3.055023454992061e-53	9.900990099009901e-06	8.91089108910891e-05
F83	G40	61	164	920	31778	8.107092653131296e-51	9.900990099009901e-06	9.900990099009902e-05
E66	I10	60	653	222	31778	2.030426309194348e-49	9.900990099009901e-06	0.00010891089108910891
E84	K86	20	53	36	31778	3.230085330640435e-48	9.900990099009901e-06	0.00011881188118811881
C40	C41	19	30	52	31778	1.4540740362285066e-47	9.900990099009901e-06	0.00012871287128712872
E10	E14	36	461	74	31778	1.698015038599251e-46	9.900990099009901e-06	0.00013861386138613863
F32	F60	53	521	221	31778	6.493671395403576e-46	9.900990099009901e-06	0.0001485148514851485
F43	F60	72	1268	221	31778	1.9567116368364776e-45	9.900990099009901e-06	0.00015841584158415842
N47	N48	88	1908	247	31778	1.6217385305407356e-44	9.900990099009901e-06	0.00016831683168316833
F43	F91	82	1268	306	31778	2.7733225209530353e-44	9.900990099009901e-06	0.0001782178217821782
D69	D70	25	143	60	31778	1.064354628684288e-43	9.900990099009901e-06	0.00018811881188118812
F90	F91	58	549	306	31778	1.185107436251622e-42	9.900990099009901e-06	0.00019801980198019803
E86	A08	48	151	716	31778	1.4531636617558483e-41	9.900990099009901e-06	0.00020792079207920792
N13	N20	27	124	123	31778	3.715662752134237e-40	9.900990099009901e-06	0.00021782178217821783
K00	K01	26	47	320	31778	4.43375415530986e-40	9.900990099009901e-06	0.00022772277227722774
F12	F19	38	268	209	31778	2.313152578486445e-39	9.900990099009901e-06	0.00023762376237623762
G40	G41	31	920	44	31778	4.5279642817146666e-38	9.900990099009901e-06	0.00024752475247524753
J32	J33	25	239	60	31778	9.173576903376146e-38	9.900990099009901e-06	0.00025742574257425744
J30	J45	38	127	522	31778	3.6683878186705194e-37	9.900990099009901e-06	0.00026732673267326735
H50	H52	24	160	80	31778	1.4883660510491385e-36	9.900990099009901e-06	0.00027722772277227726
D50	K50	26	91	197	31778	2.0790041851308722e-36	9.900990099009901e-06	0.0002871287128712871
F92	F94	27	335	66	31778	2.432925241351232e-36	9.900990099009901e-06	0.000297029702970297
F43	F90	98	1268	549	31778	2.8183383043388387e-36	9.900990099009901e-06	0.00030693069306930693
H50	H53	25	160	101	31778	1.1681201214221454e-35	9.900990099009901e-06	0.00031683168316831684
F43	F92	76	1268	335	31778	1.1759838793005193e-35	9.900990099009901e-06	0.00032673267326732675
F12	F60	36	268	221	31778	1.6530633941270163e-35	9.900990099009901e-06	0.00033663366336633666
D61	D69	18	36	143	31778	1.5982213022032396e-33	9.900990099009901e-06	0.00034653465346534657
G51	A69	24	220	77	31778	1.6104435262208287e-33	9.900990099009901e-06	0.0003564356435643564
G80	G82	22	129	92	31778	2.7028540539722927e-33	9.900990099009901e-06	0.00036633663366336634
E66	E90	20	653	21	31778	2.783454524618724e-33	9.900990099009901e-06	0.00037623762376237625
H91	H93	22	108	111	31778	3.72893580931108e-33	9.900990099009901e-06	0.00038613861386138616
D61	D70	15	36	60	31778	1.1103681560581255e-32	9.900990099009901e-06	0.00039603960396039607
F12	F15	19	268	31	31778	2.650989110231702e-32	9.900990099009901e-06	0.000405940594059406
C41	D70	16	52	60	31778	2.872615507540532e-32	9.900990099009901e-06	0.00041584158415841583
F12	F23	29	268	138	31778	3.672596932507329e-32	9.900990099009901e-06	0.00042574257425742574
F90	F94	28	549	66	31778	4.16006913698883e-32	9.900990099009901e-06	0.00043564356435643565
G47	G71	19	125	59	31778	5.854755423380736e-32	9.900990099009901e-06	0.00044554455445544556
C71	D43	15	108	25	31778	1.0735735600513268e-31	9.900990099009901e-06	0.00045544554455445547
N20	N23	17	123	39	31778	1.4738078840106859e-31	9.900990099009901e-06	0.0004653465346534654
G40	G82	36	920	92	31778	2.1438709535643674e-31	9.900990099009901e-06	0.00047524752475247524
G80	M62	21	129	92	31778	2.4506393572357652e-31	9.900990099009901e-06	0.00048514851485148515
F10	F12	67	1456	268	31778	9.798262972636052e-31	9.900990099009901e-06	0.0004950495049504951
