ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
H25	H52	587	8885	676	55992	0.0	6.170554115759596e-07	2.4682216463038382e-06
I10	I48	3879	22728	5358	55992	0.0	6.170554115759596e-07	4.319387881031717e-06
E11	I10	4662	5995	22728	55992	0.0	6.170554115759596e-07	3.085277057879798e-06
H25	H35	1293	8885	2343	55992	0.0	6.170554115759596e-07	3.702332469455757e-06
E66	I10	2256	2738	22728	55992	0.0	6.170554115759596e-07	1.2341108231519191e-06
I10	I25	4054	22728	5249	55992	0.0	6.170554115759596e-07	1.8511662347278786e-06
I20	I25	747	1228	5249	55992	0.0	6.170554115759596e-07	6.170554115759596e-07
F00	G30	582	586	1067	55992	0.0	6.170554115759596e-07	4.9364432926076765e-06
I48	I50	1110	5358	2392	55992	0.0	6.170554115759596e-07	8.638775762063434e-06
E78	I25	2070	7580	5249	55992	0.0	6.170554115759596e-07	8.021720350487474e-06
K29	K44	635	3551	1296	55992	0.0	6.170554115759596e-07	5.553498704183636e-06
I21	I25	619	877	5249	55992	0.0	6.170554115759596e-07	6.170554115759596e-06
E78	I10	6138	7580	22728	55992	0.0	6.170554115759596e-07	6.787609527335555e-06
M51	M54	692	1792	3968	55992	0.0	6.170554115759596e-07	7.404664938911514e-06
M48	M54	551	1293	3968	55992	1.5755305925321038e-289	6.170554115759596e-07	9.255831173639393e-06
K21	K44	347	1202	1296	55992	2.825689794615966e-284	6.170554115759596e-07	9.872886585215353e-06
K29	K57	841	3551	3426	55992	7.432150420566001e-283	6.170554115759596e-07	1.0489941996791313e-05
K21	K29	499	1202	3551	55992	4.1689151893683505e-278	6.170554115759596e-07	1.1106997408367271e-05
I25	I50	839	5249	2392	55992	5.872700432465476e-277	6.170554115759596e-07	1.1724052819943232e-05
M17	M22	301	4029	371	55992	9.81521472375518e-275	6.170554115759596e-07	1.2341108231519192e-05
M48	M51	387	1293	1792	55992	3.061245741909817e-267	6.170554115759596e-07	1.295816364309515e-05
I34	I35	305	1197	1060	55992	8.338277038734716e-259	6.170554115759596e-07	1.357521905467111e-05
E11	E78	1759	5995	7580	55992	9.41966911601045e-257	6.170554115759596e-07	1.419227446624707e-05
K57	K63	533	3426	1584	55992	2.851939797650674e-252	6.170554115759596e-07	1.4809329877823029e-05
N18	I10	1634	2163	22728	55992	8.502000379545086e-249	6.170554115759596e-07	1.542638528939899e-05
E11	E66	922	5995	2738	55992	3.88051218843599e-244	6.170554115759596e-07	1.604344070097495e-05
I25	I48	1273	5249	5358	55992	1.663695591428241e-241	6.170554115759596e-07	1.666049611255091e-05
E66	E78	1035	2738	7580	55992	3.805152919861236e-236	6.170554115759596e-07	1.727755152412687e-05
N13	N20	152	406	364	55992	2.1063608102045655e-234	6.170554115759596e-07	1.7894606935702826e-05
I07	I34	185	298	1197	55992	2.148121932491055e-232	6.170554115759596e-07	1.8511662347278786e-05
I34	I48	536	1197	5358	55992	2.962616892078332e-228	6.170554115759596e-07	1.9128717758854746e-05
M47	M54	539	1592	3968	55992	2.1571530267188853e-224	6.170554115759596e-07	1.9745773170430706e-05
E11	I25	1331	5995	5249	55992	1.6314434048735047e-223	6.170554115759596e-07	2.0362828582006666e-05
N18	I50	489	2163	2392	55992	4.970038458295512e-218	6.170554115759596e-07	2.0979883993582626e-05
I10	M81	2769	22728	4383	55992	2.596367873730378e-216	6.170554115759596e-07	2.1596939405158586e-05
N18	E11	765	2163	5995	55992	1.8679855311946209e-215	6.170554115759596e-07	2.2213994816734543e-05
F32	I10	2039	2990	22728	55992	2.382374475155316e-215	6.170554115759596e-07	2.2831050228310503e-05
E11	E14	639	5995	1586	55992	5.42110830459432e-214	6.170554115759596e-07	2.3448105639886463e-05
I10	I50	1705	22728	2392	55992	1.76171443214951e-211	6.170554115759596e-07	2.4065161051462423e-05
M54	M81	910	3968	4383	55992	2.828766775323524e-211	6.170554115759596e-07	2.4682216463038383e-05
I42	I50	275	663	2392	55992	8.941525295564659e-197	6.170554115759596e-07	2.5299271874614343e-05
E14	I10	1218	1586	22728	55992	9.700503757013993e-195	6.170554115759596e-07	2.59163272861903e-05
E11	H36	240	5995	273	55992	1.8209073706290976e-194	6.170554115759596e-07	2.653338269776626e-05
H25	H40	592	8885	1084	55992	1.8992552331950934e-193	6.170554115759596e-07	2.715043810934222e-05
E78	I20	591	7580	1228	55992	1.0610590563550575e-192	6.170554115759596e-07	2.776749352091818e-05
I34	I50	350	1197	2392	55992	1.7688495233418073e-192	6.170554115759596e-07	2.838454893249414e-05
M42	M54	303	574	3968	55992	6.65327197641705e-191	6.170554115759596e-07	2.90016043440701e-05
E79	I10	818	953	22728	55992	3.9251820332138435e-187	6.170554115759596e-07	2.9618659755646057e-05
