ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
E78	I10	3721	5625	13477	47622	0.0	1.1046062078868883e-06	1.1046062078868883e-06
E11	I10	2065	2935	13477	47622	0.0	1.1046062078868883e-06	2.2092124157737767e-06
I20	I25	575	1062	2533	47622	0.0	1.1046062078868883e-06	3.313818623660665e-06
E66	I10	2050	2773	13477	47622	0.0	1.1046062078868883e-06	4.418424831547553e-06
I10	I25	1819	13477	2533	47622	0.0	1.1046062078868883e-06	5.5230310394344414e-06
E78	I25	1165	5625	2533	47622	0.0	1.1046062078868883e-06	6.62763724732133e-06
I21	I25	331	495	2533	47622	4.6699844219955514e-300	1.1046062078868883e-06	7.732243455208218e-06
M51	M54	520	1461	2582	47622	3.7709443945281223e-289	1.1046062078868883e-06	8.836849663095107e-06
M17	M23	584	2404	2126	47622	6.866183203526015e-276	1.1046062078868883e-06	9.941455870981996e-06
K29	K44	439	2696	1048	47622	7.057162080179699e-269	1.1046062078868883e-06	1.1046062078868883e-05
K21	K44	305	1070	1048	47622	2.3833921722122402e-256	1.1046062078868883e-06	1.2150668286755772e-05
E11	E66	681	2935	2773	47622	3.819255413363348e-236	1.1046062078868883e-06	1.325527449464266e-05
M23	M94	209	2126	271	47622	2.2608607850532037e-226	1.1046062078868883e-06	1.4359880702529548e-05
E66	E78	943	2773	5625	47622	2.89158632201339e-223	1.1046062078868883e-06	1.5464486910416435e-05
M23	M24	217	2126	317	47622	9.56138719130208e-216	1.1046062078868883e-06	1.6569093118303324e-05
N13	N20	142	291	437	47622	2.4148280108750066e-215	1.1046062078868883e-06	1.7673699326190213e-05
I10	I20	782	13477	1062	47622	1.101763819325528e-210	1.1046062078868883e-06	1.8778305534077102e-05
E14	I10	819	1143	13477	47622	8.942463589142646e-208	1.1046062078868883e-06	1.988291174196399e-05
I10	I48	1039	13477	1628	47622	3.9340533834854414e-202	1.1046062078868883e-06	2.0987517949850877e-05
E78	I20	516	5625	1062	47622	3.2508116743436374e-198	1.1046062078868883e-06	2.2092124157737766e-05
K21	K29	377	1070	2696	47622	1.6854273217799407e-197	1.1046062078868883e-06	2.3196730365624655e-05
H25	H35	315	2805	701	47622	8.879029445127413e-197	1.1046062078868883e-06	2.4301336573511544e-05
M17	M22	230	2404	382	47622	1.2095964350758526e-196	1.1046062078868883e-06	2.5405942781398433e-05
H25	H52	202	2805	265	47622	7.445772544364805e-192	1.1046062078868883e-06	2.651054898928532e-05
E11	E14	384	2935	1143	47622	2.6616333365943064e-179	1.1046062078868883e-06	2.7615155197172207e-05
E78	E79	394	5625	750	47622	5.3355671620651925e-166	1.1046062078868883e-06	2.8719761405059096e-05
F00	G30	61	62	119	47622	6.876094209953347e-166	1.1046062078868883e-06	2.9824367612945985e-05
E11	E78	866	2935	5625	47622	2.183388018263232e-158	1.1046062078868883e-06	3.092897382083287e-05
K57	K63	352	2266	1406	47622	2.787826647339965e-155	1.1046062078868883e-06	3.203358002871976e-05
C78	C79	107	385	269	47622	7.753917539262483e-155	1.1046062078868883e-06	3.313818623660665e-05
I48	I50	222	1628	703	47622	3.161473540969812e-150	1.1046062078868883e-06	3.424279244449354e-05
E79	I10	547	750	13477	47622	1.020940334756979e-143	1.1046062078868883e-06	3.5347398652380427e-05
E11	I25	518	2935	2533	47622	6.055400916890641e-139	1.1046062078868883e-06	3.6452004860267316e-05
I25	I50	250	2533	703	47622	5.086989214349017e-137	1.1046062078868883e-06	3.7556611068154205e-05
I84	K57	270	954	2266	47622	2.8421081716594493e-132	1.1046062078868883e-06	3.8661217276041093e-05
N84	N95	190	1147	802	47622	1.9065614874364946e-131	1.1046062078868883e-06	3.976582348392798e-05
H25	H40	219	2805	519	47622	6.463290449444594e-129	1.1046062078868883e-06	4.087042969181487e-05
H91	H93	99	406	335	47622	7.102171889976803e-125	1.1046062078868883e-06	4.1975035899701754e-05
N39	N81	273	2369	1011	47622	2.8665692254556062e-123	1.1046062078868883e-06	4.307964210758864e-05
M22	M23	168	382	2126	47622	6.9799768811745e-122	1.1046062078868883e-06	4.418424831547553e-05
M42	M54	189	432	2582	47622	3.702382477671191e-121	1.1046062078868883e-06	4.528885452336242e-05
M48	M51	163	500	1461	47622	1.0402686436650288e-119	1.1046062078868883e-06	4.639346073124931e-05
