ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
N92	D25	1821	5854	4785	56884	0.0	2.4113817217265493e-06	2.4113817217265493e-06
E66	I10	716	1900	3498	56884	0.0	2.4113817217265493e-06	4.8227634434530985e-06
E78	I10	684	2181	3498	56884	6.794261404785902e-305	2.4113817217265493e-06	7.234145165179648e-06
M51	M54	501	1728	2423	56884	4.099808699763503e-279	2.4113817217265493e-06	9.645526886906197e-06
M23	M94	205	1788	308	56884	3.163015470072732e-231	2.4113817217265493e-06	1.2056908608632746e-05
J32	J34	187	551	651	56884	5.557958142307686e-226	2.4113817217265493e-06	1.4468290330359296e-05
N13	N20	146	292	567	56884	1.1717226406499825e-215	2.4113817217265493e-06	1.6879672052085845e-05
K21	K44	184	693	603	56884	1.9170167803644694e-206	2.4113817217265493e-06	1.9291053773812394e-05
N39	N81	266	1932	707	56884	2.000543564921188e-203	2.4113817217265493e-06	2.1702435495538943e-05
I21	I25	109	159	424	56884	1.658499637497233e-197	2.4113817217265493e-06	2.4113817217265492e-05
K29	K44	237	1978	603	56884	1.3592852351262369e-183	2.4113817217265493e-06	2.652519893899204e-05
N85	N92	475	1084	5854	56884	5.00696560477718e-183	2.4113817217265493e-06	2.8936580660718593e-05
N84	N92	680	2106	5854	56884	3.111403547037573e-175	2.4113817217265493e-06	3.134796238244514e-05
K21	K29	242	693	1978	56884	4.36278820959273e-173	2.4113817217265493e-06	3.375934410417169e-05
E11	I10	280	626	3498	56884	6.831854193001819e-168	2.4113817217265493e-06	3.617072582589824e-05
M22	M23	152	241	1788	56884	2.24394334067695e-165	2.4113817217265493e-06	3.858210754762479e-05
E66	E78	380	1900	2181	56884	5.564370822050629e-164	2.4113817217265493e-06	4.099348926935134e-05
H91	H93	115	405	354	56884	2.1673787018958158e-160	2.4113817217265493e-06	4.3404870991077886e-05
N92	D50	466	5854	1173	56884	1.217421705190422e-158	2.4113817217265493e-06	4.5816252712804435e-05
F10	K70	101	837	134	56884	2.8131412094115517e-157	2.4113817217265493e-06	4.8227634434530984e-05
M17	M23	173	401	1788	56884	1.7722051264227203e-149	2.4113817217265493e-06	5.063901615625753e-05
E78	I25	185	2181	424	56884	4.39706229724867e-145	2.4113817217265493e-06	5.305039787798408e-05
I20	I25	100	281	424	56884	2.824253178004124e-141	2.4113817217265493e-06	5.546177959971063e-05
E78	F17	256	2181	968	56884	3.1340033561691957e-139	2.4113817217265493e-06	5.7873161321437186e-05
N20	N23	99	567	220	56884	9.89931743108066e-139	2.4113817217265493e-06	6.0284543043163735e-05
N73	N83	188	605	2162	56884	2.976535422025448e-116	2.4113817217265493e-06	6.269592476489028e-05
E11	E66	179	626	1900	56884	2.4963955257286184e-113	2.4113817217265493e-06	6.510730648661683e-05
M53	M54	201	696	2423	56884	3.692837454870443e-108	2.4113817217265493e-06	6.751868820834338e-05
M23	M24	121	1788	268	56884	2.2982488084552646e-107	2.4113817217265493e-06	6.993006993006993e-05
N80	D25	320	971	4785	56884	1.1175164759078788e-106	2.4113817217265493e-06	7.234145165179648e-05
N70	N73	116	650	605	56884	1.128621948482108e-105	2.4113817217265493e-06	7.475283337352303e-05
I10	I25	180	3498	424	56884	6.850090349035309e-103	2.4113817217265493e-06	7.716421509524958e-05
E11	E78	177	626	2181	56884	4.917526855417239e-101	2.4113817217265493e-06	7.957559681697613e-05
F10	F32	191	837	1960	56884	2.844111731825927e-99	2.4113817217265493e-06	8.198697853870267e-05
N73	N80	124	605	971	56884	1.0739747900737007e-94	2.4113817217265493e-06	8.439836026042922e-05
D25	D50	335	4785	1173	56884	1.738179836133258e-92	2.4113817217265493e-06	8.680974198215577e-05
J32	J33	63	551	139	56884	4.6982019783524905e-89	2.4113817217265493e-06	8.922112370388232e-05
F10	F43	127	837	847	56884	1.245038136343238e-87	2.4113817217265493e-06	9.163250542560887e-05
K80	K81	104	2375	209	56884	2.5585860327208762e-85	2.4113817217265493e-06	9.404388714733542e-05
N92	N94	195	5854	403	56884	3.274445955346076e-84	2.4113817217265493e-06	9.645526886906197e-05
N80	N83	196	971	2162	56884	3.5142097268973673e-84	2.4113817217265493e-06	9.886665059078852e-05
C78	C79	40	123	96	56884	3.110729811782891e-83	2.4113817217265493e-06	0.00010127803231251506
F17	J44	93	968	377	56884	5.88486150505269e-79	2.4113817217265493e-06	0.00010368941403424161
J34	M95	49	651	72	56884	3.641771088854261e-78	2.4113817217265493e-06	0.00010610079575596816
F32	F41	148	1960	638	56884	7.788541828683019e-78	2.4113817217265493e-06	0.00010851217747769471
E11	E14	70	626	252	56884	6.797341351808354e-77	2.4113817217265493e-06	0.00011092355919942126
N83	D25	454	2162	4785	56884	8.235802130437127e-77	2.4113817217265493e-06	0.00011333494092114781
F32	F33	137	1960	552	56884	4.2234529473321284e-76	2.4113817217265493e-06	0.00011574632264287437
I84	K62	87	1061	308	56884	4.904318034187035e-76	2.4113817217265493e-06	0.00011815770436460092
C73	E89	39	126	126	56884	1.9844826778168315e-74	2.4113817217265493e-06	0.00012056908608632747
N13	N23	53	292	220	56884	5.331267732638175e-73	2.4113817217265493e-06	0.000122980467808054
E78	I20	104	2181	281	56884	8.591165595142006e-73	2.4113817217265493e-06	0.00012539184952978057
N81	D25	226	707	4785	56884	1.8618421117317085e-72	2.4113817217265493e-06	0.0001278032312515071
F17	I25	91	968	424	56884	2.200801759375285e-71	2.4113817217265493e-06	0.00013021461297323366
E78	E79	86	2181	183	56884	4.322683620792154e-71	2.4113817217265493e-06	0.0001326259946949602
I84	K60	77	1061	261	56884	5.629793497741099e-69	2.4113817217265493e-06	0.00013503737641668676
F10	F13	54	837	113	56884	6.366038306066804e-68	2.4113817217265493e-06	0.0001374487581384133
E78	I21	79	2181	159	56884	7.605706823933623e-68	2.4113817217265493e-06	0.00013986013986013986
F32	M54	269	1960	2423	56884	8.042498703559606e-66	2.4113817217265493e-06	0.0001422715215818664
M22	M94	51	241	308	56884	9.201245956787419e-66	2.4113817217265493e-06	0.00014468290330359296
F32	F43	152	1960	847	56884	1.0604161975516501e-63	2.4113817217265493e-06	0.0001470942850253195
M47	M54	122	444	2423	56884	5.497342859140893e-63	2.4113817217265493e-06	0.00014950566674704606
N70	N83	139	650	2162	56884	5.868823201477485e-63	2.4113817217265493e-06	0.0001519170484687726
E14	I10	108	252	3498	56884	1.3805870545471786e-62	2.4113817217265493e-06	0.00015432843019049915
E78	K76	142	2181	690	56884	1.3726979299859225e-61	2.4113817217265493e-06	0.00015673981191222572
E66	K76	133	1900	690	56884	3.3357624682263406e-61	2.4113817217265493e-06	0.00015915119363395225
I10	I11	86	3498	163	56884	1.3110786512437438e-59	2.4113817217265493e-06	0.0001615625753556788
F10	F33	85	837	552	56884	2.1692125636207584e-59	2.4113817217265493e-06	0.00016397395707740535
F17	I10	208	968	3498	56884	9.900069930967955e-58	2.4113817217265493e-06	0.0001663853387991319
F17	I21	55	968	159	56884	4.623418108446904e-56	2.4113817217265493e-06	0.00016879672052085845
K80	K85	73	2375	172	56884	6.27970078916244e-54	2.4113817217265493e-06	0.000171208102242585
I83	I87	77	4030	132	56884	1.8282989277371021e-53	2.4113817217265493e-06	0.00017361948396431154
I10	K76	166	3498	690	56884	2.9047389813847376e-53	2.4113817217265493e-06	0.0001760308656860381
I10	I20	104	3498	281	56884	6.720899496965732e-53	2.4113817217265493e-06	0.00017844224740776464
F10	K71	42	837	92	56884	5.786200310495782e-52	2.4113817217265493e-06	0.0001808536291294912
E04	E89	55	1559	126	56884	1.600678125390722e-51	2.4113817217265493e-06	0.00018326501085121774
C50	D05	42	1006	83	56884	4.525974614812724e-51	2.4113817217265493e-06	0.0001856763925729443
N94	D25	141	403	4785	56884	6.953473652907111e-51	2.4113817217265493e-06	0.00018808777429467084
G91	I60	22	43	99	56884	1.6228645366991055e-50	2.4113817217265493e-06	0.0001904991560163974
N83	N92	453	2162	5854	56884	1.9459312736873926e-50	2.4113817217265493e-06	0.00019291053773812393
K29	K80	240	1978	2375	56884	2.262377063979006e-50	2.4113817217265493e-06	0.0001953219194598505
C56	C78	27	111	123	56884	2.164776232890354e-48	2.4113817217265493e-06	0.00019773330118157703
N84	N85	156	2106	1084	56884	4.003496566093923e-48	2.4113817217265493e-06	0.0002001446829033036
