ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
H25	H35	1040	7196	1807	47662	0.0	7.018036353428311e-07	7.018036353428311e-07
E66	I10	1998	2449	19595	47662	0.0	7.018036353428311e-07	1.4036072706856623e-06
I48	I50	940	4393	2114	47662	0.0	7.018036353428311e-07	2.1054109060284935e-06
I10	I48	3043	19595	4393	47662	0.0	7.018036353428311e-07	2.8072145413713245e-06
E78	I25	1718	6427	4549	47662	0.0	7.018036353428311e-07	4.912625447399818e-06
E78	I10	5101	6427	19595	47662	0.0	7.018036353428311e-07	5.614429082742649e-06
I20	I25	764	1272	4549	47662	0.0	7.018036353428311e-07	3.5090181767141556e-06
I21	I25	565	835	4549	47662	0.0	7.018036353428311e-07	4.210821812056987e-06
F00	G30	507	511	980	47662	0.0	7.018036353428311e-07	7.719839988771143e-06
I10	I25	3458	19595	4549	47662	0.0	7.018036353428311e-07	8.421643624113974e-06
E11	I10	3494	4637	19595	47662	0.0	7.018036353428311e-07	7.018036353428311e-06
M17	M22	352	3480	403	47662	0.0	7.018036353428311e-07	6.31623271808548e-06
K29	K44	504	2961	1068	47662	1.64e-321	7.018036353428311e-07	9.123447259456805e-06
I25	I50	792	4549	2114	47662	7.353798057393136e-281	7.018036353428311e-07	9.825250894799636e-06
M51	M54	530	1427	3143	47662	4.69269950422906e-261	7.018036353428311e-07	1.0527054530142467e-05
K21	K44	292	985	1068	47662	1.167222881422402e-247	7.018036353428311e-07	1.1228858165485298e-05
K57	K63	471	2938	1254	47662	1.524272345137377e-246	7.018036353428311e-07	1.193066180082813e-05
I34	I35	280	995	948	47662	6.745488626681884e-246	7.018036353428311e-07	1.263246543617096e-05
M48	M51	311	938	1427	47662	2.526280189648143e-239	7.018036353428311e-07	1.3334269071513791e-05
H25	H52	347	7196	399	47662	1.8307106872380467e-226	7.018036353428311e-07	1.4036072706856622e-05
K21	K29	402	985	2961	47662	5.630884421833001e-224	7.018036353428311e-07	1.4737876342199453e-05
I25	I48	1088	4549	4393	47662	7.712311151367215e-216	7.018036353428311e-07	1.5439679977542286e-05
E11	E14	627	4637	1707	47662	3.5924661677128546e-209	7.018036353428311e-07	1.6141483612885117e-05
K29	K57	665	2961	2938	47662	2.8490298951096314e-206	7.018036353428311e-07	1.6843287248227948e-05
E78	E79	530	6427	983	47662	9.638762584198685e-204	7.018036353428311e-07	1.754509088357078e-05
E66	E78	906	2449	6427	47662	5.429240362532044e-201	7.018036353428311e-07	1.824689451891361e-05
H25	H40	531	7196	924	47662	3.83059081090695e-198	7.018036353428311e-07	1.894869815425644e-05
M48	M54	376	938	3143	47662	2.8933557194366194e-196	7.018036353428311e-07	1.9650501789599272e-05
I07	I34	146	230	995	47662	3.5302016787757966e-187	7.018036353428311e-07	2.0352305424942103e-05
E78	I20	590	6427	1272	47662	2.81728250039574e-184	7.018036353428311e-07	2.1054109060284934e-05
I34	I48	429	995	4393	47662	2.870465677501732e-181	7.018036353428311e-07	2.1755912695627765e-05
N18	I50	388	1571	2114	47662	4.825507017445152e-181	7.018036353428311e-07	2.2457716330970596e-05
F32	I10	1836	2717	19595	47662	1.2783769092413097e-180	7.018036353428311e-07	2.3159519966313427e-05
I10	I20	1013	19595	1272	47662	2.806894998843324e-178	7.018036353428311e-07	2.386132360165626e-05
E11	I25	1045	4637	4549	47662	1.2153684751822438e-172	7.018036353428311e-07	2.456312723699909e-05
E14	I10	1257	1707	19595	47662	2.092391894267504e-169	7.018036353428311e-07	2.526493087234192e-05
I42	I50	237	557	2114	47662	3.2435957928365114e-169	7.018036353428311e-07	2.596673450768475e-05
E11	E66	705	4637	2449	47662	3.5911101925097615e-167	7.018036353428311e-07	2.6668538143027582e-05
E79	I10	819	983	19595	47662	7.6046069549313e-167	7.018036353428311e-07	2.7370341778370413e-05
E11	E78	1290	4637	6427	47662	1.5054478827380594e-164	7.018036353428311e-07	2.8072145413713245e-05
M47	M54	430	1471	3143	47662	1.2494477842105318e-163	7.018036353428311e-07	2.8773949049056076e-05
M23	M94	109	1053	130	47662	6.662428178196736e-160	7.018036353428311e-07	2.9475752684398907e-05
N18	I10	1157	1571	19595	47662	1.0529351050586322e-155	7.018036353428311e-07	3.0177556319741738e-05
M17	M23	370	3480	1053	47662	7.2758831706663746e-155	7.018036353428311e-07	3.087935995508457e-05
N13	N20	108	321	334	47662	1.4542823969716421e-154	7.018036353428311e-07	3.15811635904274e-05
I84	K57	261	597	2938	47662	9.983675202208205e-154	7.018036353428311e-07	3.2282967225770234e-05
C78	C79	111	452	274	47662	3.957730803645661e-153	7.018036353428311e-07	3.298477086111306e-05
I34	I50	287	995	2114	47662	1.2833380452699505e-151	7.018036353428311e-07	3.3686574496455896e-05
I10	I50	1438	19595	2114	47662	7.081941360770015e-144	7.018036353428311e-07	3.4388378131798724e-05
M54	M81	698	3143	3890	47662	1.1055566656627668e-142	7.018036353428311e-07	3.509018176714156e-05
I10	M81	2341	19595	3890	47662	7.625686105072053e-138	7.018036353428311e-07	3.5791985402484386e-05
I25	I35	371	4549	948	47662	1.3188215969754588e-134	7.018036353428311e-07	3.649378903782722e-05
I10	I63	817	19595	1054	47662	6.536178082203262e-131	7.018036353428311e-07	3.719559267317005e-05
M42	M54	214	445	3143	47662	2.025201117693319e-130	7.018036353428311e-07	3.789739630851288e-05
I26	I80	147	679	695	47662	7.887327628500191e-128	7.018036353428311e-07	3.859919994385571e-05
N18	I25	483	1571	4549	47662	1.215430816262446e-127	7.018036353428311e-07	3.9301003579198544e-05
I25	I34	372	4549	995	47662	1.7644121449819147e-127	7.018036353428311e-07	4.000280721454137e-05
C50	C79	121	1054	274	47662	5.070601444507843e-125	7.018036353428311e-07	4.0704610849884206e-05
M43	M48	126	349	938	47662	2.600674650609262e-123	7.018036353428311e-07	4.1406414485227034e-05
N18	D64	231	1571	1064	47662	1.0083687956169129e-120	7.018036353428311e-07	4.210821812056987e-05
K44	K57	306	1068	2938	47662	1.70431373037123e-120	7.018036353428311e-07	4.2810021755912696e-05
M47	M51	254	1471	1427	47662	7.207857436593042e-119	7.018036353428311e-07	4.351182539125553e-05
I10	I70	997	19595	1402	47662	1.2371851381059537e-117	7.018036353428311e-07	4.421362902659836e-05
I10	I67	934	19595	1293	47662	9.88728885414928e-117	7.018036353428311e-07	4.491543266194119e-05
I70	I73	193	1402	821	47662	3.1484710752449375e-116	7.018036353428311e-07	4.561723629728403e-05
F03	G30	181	1001	980	47662	1.0573332196951465e-115	7.018036353428311e-07	4.6319039932626855e-05
E11	H36	153	4637	196	47662	9.156064209648158e-115	7.018036353428311e-07	4.702084356796969e-05
N18	E11	467	1571	4637	47662	4.047709124633586e-114	7.018036353428311e-07	4.772264720331252e-05
M47	M81	407	1471	3890	47662	5.532616936917827e-113	7.018036353428311e-07	4.842445083865535e-05
N18	E79	214	1571	983	47662	8.218466799143022e-112	7.018036353428311e-07	4.912625447399818e-05
E78	I63	433	6427	1054	47662	1.6182250749436853e-111	7.018036353428311e-07	4.982805810934101e-05
E78	I65	386	6427	877	47662	1.398696278036333e-110	7.018036353428311e-07	5.052986174468384e-05
E03	I10	943	1330	19595	47662	5.938509919798058e-110	7.018036353428311e-07	5.1231665380026675e-05
M42	M47	147	445	1471	47662	2.1661573744947147e-108	7.018036353428311e-07	5.19334690153695e-05
N39	I10	2168	3718	19595	47662	3.098840579109021e-107	7.018036353428311e-07	5.263527265071234e-05
E78	I70	510	6427	1402	47662	3.4827497429377204e-107	7.018036353428311e-07	5.3337076286055165e-05
I42	I48	246	557	4393	47662	5.424474229452092e-106	7.018036353428311e-07	5.4038879921398e-05
F17	J44	140	329	1904	47662	1.0727132178306837e-105	7.018036353428311e-07	5.474068355674083e-05
I10	I65	674	19595	877	47662	8.441595134410304e-105	7.018036353428311e-07	5.544248719208366e-05
I10	I11	780	19595	1059	47662	1.6733425504312946e-104	7.018036353428311e-07	5.614429082742649e-05
E11	I50	542	4637	2114	47662	2.8792481259407187e-104	7.018036353428311e-07	5.6846094462769323e-05
I10	J44	1241	19595	1904	47662	1.893160388769389e-103	7.018036353428311e-07	5.754789809811215e-05
I63	I64	157	1054	768	47662	2.1556050073324328e-103	7.018036353428311e-07	5.8249701733454986e-05
E78	I21	364	6427	835	47662	1.0308132803846382e-102	7.018036353428311e-07	5.895150536879781e-05
M17	M21	138	3480	213	47662	2.8245124550787823e-102	7.018036353428311e-07	5.965330900414065e-05
I10	I21	644	19595	835	47662	2.320485390071913e-101	7.018036353428311e-07	6.0355112639483475e-05
I34	I36	76	995	111	47662	5.090111879613837e-101	7.018036353428311e-07	6.105691627482631e-05
N84	N85	98	538	405	47662	7.401778908139647e-101	7.018036353428311e-07	6.175871991016914e-05
C77	C78	78	222	452	47662	8.469900017617613e-101	7.018036353428311e-07	6.246052354551196e-05
I27	I34	118	409	995	47662	4.585012840833348e-99	7.018036353428311e-07	6.31623271808548e-05
E66	E79	245	2449	983	47662	6.395425201193772e-99	7.018036353428311e-07	6.386413081619763e-05
I10	I64	600	19595	768	47662	1.1281003796158143e-98	7.018036353428311e-07	6.456593445154047e-05
M51	M99	113	1427	271	47662	4.236552835979841e-98	7.018036353428311e-07	6.526773808688329e-05
I10	I35	703	19595	948	47662	1.7539235895176085e-96	7.018036353428311e-07	6.596954172222612e-05
K80	K85	121	2489	221	47662	1.8252713912917428e-94	7.018036353428311e-07	6.667134535756896e-05
N84	N95	94	538	409	47662	2.414383636948255e-94	7.018036353428311e-07	6.737314899291179e-05
I10	K76	906	19595	1316	47662	2.941329010475556e-94	7.018036353428311e-07	6.807495262825463e-05
I27	I50	148	409	2114	47662	4.503357025824112e-93	7.018036353428311e-07	6.877675626359745e-05
M53	M54	233	775	3143	47662	4.414878074522702e-90	7.018036353428311e-07	6.947855989894028e-05
