ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
J32	J34	314	802	1217	63261	0.0	2.7337342810278842e-06	2.7337342810278842e-06
N13	N20	264	546	865	63261	0.0	2.7337342810278842e-06	5.4674685620557685e-06
M51	M54	500	1802	2226	63261	1.7305826920055863e-308	2.7337342810278842e-06	8.201202843083654e-06
N80	N97	517	2111	2331	63261	9.0017879165695e-280	2.7337342810278842e-06	1.0934937124111537e-05
J34	M95	178	1217	253	63261	5.7167342539653426e-247	2.7337342810278842e-06	1.366867140513942e-05
N20	N23	178	865	340	63261	6.874655639613185e-241	2.7337342810278842e-06	1.6402405686167307e-05
K21	K29	274	688	2115	63261	7.706534572189882e-219	2.7337342810278842e-06	1.913613996719519e-05
K21	K44	173	688	481	63261	1.1420024655747697e-216	2.7337342810278842e-06	2.1869874248223074e-05
K29	K44	232	2115	481	63261	1.0758593568624172e-208	2.7337342810278842e-06	2.4603608529250957e-05
E66	I10	320	1852	1459	63261	2.3886992352740014e-184	2.7337342810278842e-06	2.733734281027884e-05
N73	N80	235	640	2111	63261	1.7343884788624776e-177	2.7337342810278842e-06	3.0071077091306728e-05
F32	F43	346	2200	1644	63261	1.0730763769752221e-168	2.7337342810278842e-06	3.2804811372334614e-05
F32	F33	286	2200	1120	63261	1.7583850452882804e-162	2.7337342810278842e-06	3.55385456533625e-05
N13	N23	118	546	340	63261	8.034788001857359e-157	2.7337342810278842e-06	3.827227993439038e-05
F33	F60	171	1120	629	63261	8.99065392128425e-151	2.7337342810278842e-06	4.1006014215418265e-05
F10	F60	168	1084	629	63261	4.206359579971516e-149	2.7337342810278842e-06	4.373974849644615e-05
F10	F13	131	1084	308	63261	7.267927626621543e-147	2.7337342810278842e-06	4.647348277747403e-05
H91	H93	108	472	354	63261	1.4011576830319408e-143	2.7337342810278842e-06	4.9207217058501915e-05
E78	I10	208	914	1459	63261	1.3821061881066946e-142	2.7337342810278842e-06	5.19409513395298e-05
N92	D25	345	2528	1742	63261	3.806509794323854e-140	2.7337342810278842e-06	5.467468562055768e-05
G55	M51	107	142	1802	63261	1.609225102408549e-134	2.7337342810278842e-06	5.740841990158557e-05
N80	N83	356	2111	2365	63261	2.5165535878536144e-131	2.7337342810278842e-06	6.0142154182613455e-05
F10	K70	84	1084	104	63261	1.6082714635653335e-129	2.7337342810278842e-06	6.287588846364133e-05
F10	F32	243	1084	2200	63261	1.3618819761195492e-123	2.7337342810278842e-06	6.560962274466923e-05
