ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
E86	A08	689	1609	3936	64826	0.0	3.971405877680699e-06	3.971405877680699e-06
H65	J35	6258	7580	13958	64826	0.0	3.971405877680699e-06	7.942811755361398e-06
N13	N39	203	630	1144	64826	5.1360465932428595e-197	3.971405877680699e-06	1.1914217633042098e-05
N47	N48	383	8718	643	64826	2.357532479818613e-166	3.971405877680699e-06	1.5885623510722797e-05
E86	A09	422	1609	3887	64826	1.967331712047365e-154	3.971405877680699e-06	1.9857029388403498e-05
K02	K04	162	1435	464	64826	1.7493486951938693e-146	3.971405877680699e-06	2.3828435266084195e-05
K02	K08	135	1435	289	64826	7.438519446093289e-143	3.971405877680699e-06	2.7799841143764893e-05
N43	K40	213	777	1921	64826	2.983867607450536e-141	3.971405877680699e-06	3.1771247021445594e-05
H90	J35	415	601	13958	64826	1.2291843598906054e-138	3.971405877680699e-06	3.5742652899126295e-05
J18	J20	544	2135	5183	64826	3.3305914574317407e-137	3.971405877680699e-06	3.9714058776806996e-05
J00	J20	446	1511	5183	64826	4.9219495202233745e-137	3.971405877680699e-06	4.368546465448769e-05
H65	H90	315	7580	601	64826	1.4425555128358556e-132	3.971405877680699e-06	4.765687053216839e-05
H50	H52	79	567	133	64826	4.272248370480115e-128	3.971405877680699e-06	5.162827640984909e-05
F83	G40	147	451	1489	64826	2.5948342625900395e-125	3.971405877680699e-06	5.5599682287529786e-05
H70	K04	70	148	464	64826	3.457216302545643e-110	3.971405877680699e-06	5.9571088165210487e-05
J20	J45	342	5183	1120	64826	2.7257733527722315e-109	3.971405877680699e-06	6.354249404289119e-05
E86	E87	132	1609	412	64826	6.632800895063107e-107	3.971405877680699e-06	6.751389992057189e-05
H74	J35	189	208	13958	64826	1.3794857539532157e-102	3.971405877680699e-06	7.148530579825259e-05
G40	J96	152	1489	774	64826	8.667937488765302e-94	3.971405877680699e-06	7.545671167593329e-05
K10	K12	52	104	339	64826	4.757980890344893e-91	3.971405877680699e-06	7.942811755361399e-05
F80	F83	80	455	451	64826	6.703667456660761e-87	3.971405877680699e-06	8.339952343129468e-05
J15	J20	270	883	5183	64826	2.4545388630021018e-86	3.971405877680699e-06	8.737092930897538e-05
N13	N28	57	630	106	64826	4.4699017325479076e-86	3.971405877680699e-06	9.134233518665608e-05
K02	K12	103	1435	339	64826	8.293511040366862e-86	3.971405877680699e-06	9.531374106433678e-05
