ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
N13	N20	252	371	871	43654	0.0	7.651109410864576e-06	7.651109410864576e-06
J32	J34	394	728	2503	43654	4.853397222344608e-294	7.651109410864576e-06	1.5302218821729152e-05
J34	M95	287	2503	360	43654	3.672878811989798e-288	7.651109410864576e-06	2.295332823259373e-05
N20	N23	197	871	316	43654	4.0557895312470614e-257	7.651109410864576e-06	3.0604437643458305e-05
F11	F13	158	496	290	43654	4.660485798423957e-235	7.651109410864576e-06	3.825554705432288e-05
K21	K44	156	545	400	43654	1.9143477430853422e-194	7.651109410864576e-06	4.590665646518746e-05
N13	N23	115	371	316	43654	2.9030966879702363e-159	7.651109410864576e-06	5.3557765876052033e-05
K29	K44	162	1253	400	43654	6.849019083565795e-142	7.651109410864576e-06	6.120887528691661e-05
H91	H93	112	351	449	43654	1.4423288818698255e-136	7.651109410864576e-06	6.885998469778119e-05
K21	K29	176	545	1253	43654	3.847232030847163e-134	7.651109410864576e-06	7.651109410864576e-05
B18	F11	108	354	496	43654	7.192635160743178e-124	7.651109410864576e-06	8.416220351951034e-05
E66	I10	135	536	690	43654	3.748070029455886e-122	7.651109410864576e-06	9.181331293037491e-05
M51	M54	166	731	949	43654	4.1381362559719633e-119	7.651109410864576e-06	9.946442234123949e-05
F11	F19	133	496	1020	43654	6.45313853865916e-101	7.651109410864576e-06	0.00010711553175210407
B18	F19	116	354	1020	43654	4.086437004425946e-99	7.651109410864576e-06	0.00011476664116296864
F10	F60	169	1929	522	43654	8.003682910136274e-98	7.651109410864576e-06	0.00012241775057383322
M23	M94	102	1797	171	43654	1.4545365496497322e-95	7.651109410864576e-06	0.0001300688599846978
F11	F14	61	496	104	43654	1.1780753459702029e-91	7.651109410864576e-06	0.00013771996939556237
F32	F60	117	849	522	43654	3.188774311868036e-88	7.651109410864576e-06	0.00014537107880642695
F10	F32	197	1929	849	43654	3.384104317923308e-85	7.651109410864576e-06	0.00015302218821729152
C62	C77	42	221	58	43654	4.548604299337852e-85	7.651109410864576e-06	0.0001606732976281561
H83	H93	64	177	449	43654	2.6098612605852476e-81	7.651109410864576e-06	0.00016832440703902068
F12	F20	89	396	632	43654	1.501988948935205e-78	7.651109410864576e-06	0.00017597551644988525
F11	F12	82	496	396	43654	4.1787395959519055e-78	7.651109410864576e-06	0.00018362662586074983
E78	I10	100	515	690	43654	8.875837350533043e-78	7.651109410864576e-06	0.0001912777352716144
F10	F43	195	1929	927	43654	1.750604968004861e-76	7.651109410864576e-06	0.00019892884468247898
B18	F13	65	354	290	43654	3.1914955230002184e-74	7.651109410864576e-06	0.00020657995409334356
E66	E78	87	536	515	43654	8.450002679046693e-72	7.651109410864576e-06	0.00021423106350420813
F43	F60	106	927	522	43654	4.226019524860281e-71	7.651109410864576e-06	0.0002218821729150727
F13	F19	86	290	1020	43654	3.1943369146997734e-69	7.651109410864576e-06	0.00022953328232593729
K60	K61	64	274	421	43654	3.286348286799934e-69	7.651109410864576e-06	0.00023718439173680186
F10	K70	57	1929	68	43654	2.6010434924375136e-66	7.651109410864576e-06	0.00024483550114766644
F12	F13	60	396	290	43654	4.365143745469736e-63	7.651109410864576e-06	0.00025248661055853104
C62	D40	35	221	68	43654	6.389228543254926e-63	7.651109410864576e-06	0.0002601377199693956
E78	E79	59	515	225	43654	1.0198526408148924e-61	7.651109410864576e-06	0.00026778882938026014
F32	F43	117	849	927	43654	3.068539043825876e-59	7.651109410864576e-06	0.00027543993879112474
B35	A46	32	57	242	43654	6.620593556526683e-58	7.651109410864576e-06	0.00028309104820198935
F33	F60	54	210	522	43654	1.1033682325114177e-55	7.651109410864576e-06	0.0002907421576128539
F19	F60	95	1020	522	43654	2.2058274876299975e-55	7.651109410864576e-06	0.00029839326702371844
F19	B17	61	1020	172	43654	1.0666898917640906e-54	7.651109410864576e-06	0.00030604437643458305
J32	J33	54	728	163	43654	1.538568968649187e-54	7.651109410864576e-06	0.00031369548584544765
F13	F14	37	290	104	43654	3.4641319414142727e-54	7.651109410864576e-06	0.0003213465952563122
J33	J34	78	163	2503	43654	2.3566280602929513e-52	7.651109410864576e-06	0.00032899770466717675
F12	F60	63	396	522	43654	6.289098791722204e-51	7.651109410864576e-06	0.00033664881407804135
F20	F23	64	632	345	43654	7.895695683817842e-51	7.651109410864576e-06	0.00034429992348890596
N47	N48	72	1014	324	43654	1.4294638526811467e-48	7.651109410864576e-06	0.0003519510328997705
F32	F33	57	849	210	43654	3.655684777034951e-48	7.651109410864576e-06	0.00035960214231063505
