ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
E66	I10	1486	2365	9454	47889	0.0	1.6270745200130167e-06	1.6270745200130167e-06
M17	M23	490	1012	2787	47889	0.0	1.6270745200130167e-06	3.2541490400260335e-06
I20	I25	778	1265	3413	47889	0.0	1.6270745200130167e-06	1.3016596160104134e-05
K21	K44	377	1350	848	47889	0.0	1.6270745200130167e-06	1.1389521640091117e-05
I10	I25	1973	9454	3413	47889	0.0	1.6270745200130167e-06	8.135372600065084e-06
N13	N20	309	457	1172	47889	0.0	1.6270745200130167e-06	9.7624471200781e-06
E78	I10	3282	6353	9454	47889	0.0	1.6270745200130167e-06	4.88122356003905e-06
I21	I25	855	1174	3413	47889	0.0	1.6270745200130167e-06	1.7897819720143185e-05
E11	I10	1495	2667	9454	47889	0.0	1.6270745200130167e-06	1.4643670680117151e-05
E78	I21	727	6353	1174	47889	0.0	1.6270745200130167e-06	1.6270745200130168e-05
E78	I25	1882	6353	3413	47889	0.0	1.6270745200130167e-06	6.508298080052067e-06
F10	K70	305	1680	485	47889	1.245e-321	1.6270745200130167e-06	1.95248942401562e-05
M23	M94	314	2787	390	47889	1.414344086e-315	1.6270745200130167e-06	2.1151968760169216e-05
K21	K29	507	1350	2420	47889	1.815577398192e-310	1.6270745200130167e-06	2.2779043280182233e-05
E78	I20	706	6353	1265	47889	3.89389038247761e-291	1.6270745200130167e-06	2.440611780019525e-05
E78	E79	766	6353	1494	47889	3.010174870262932e-283	1.6270745200130167e-06	2.6033192320208268e-05
E66	E78	996	2365	6353	47889	1.3552307680710184e-281	1.6270745200130167e-06	2.7660266840221285e-05
N20	N23	236	1172	415	47889	1.66320333975139e-271	1.6270745200130167e-06	2.9287341360234302e-05
K29	K44	380	2420	848	47889	1.3940502389402812e-263	1.6270745200130167e-06	3.0914415880247316e-05
E78	F17	848	6353	2029	47889	1.4186667206047266e-234	1.6270745200130167e-06	3.2541490400260336e-05
M51	M54	475	1825	2157	47889	1.8383083933386213e-232	1.6270745200130167e-06	3.416856492027335e-05
M22	M23	230	292	2787	47889	6.138835630391037e-226	1.6270745200130167e-06	3.579563944028637e-05
J32	J34	194	532	702	47889	1.3642524705822529e-220	1.6270745200130167e-06	3.7422713960299384e-05
E11	E78	953	2667	6353	47889	9.882753190218577e-205	1.6270745200130167e-06	3.90497884803124e-05
I10	I20	722	9454	1265	47889	3.1350668887476374e-194	1.6270745200130167e-06	4.067686300032542e-05
M23	M24	219	2787	318	47889	7.369034452140457e-193	1.6270745200130167e-06	4.230393752033843e-05
H91	H93	146	421	470	47889	5.4513186739979504e-189	1.6270745200130167e-06	4.393101204035145e-05
I42	I50	157	492	537	47889	1.2902209526237834e-186	1.6270745200130167e-06	4.555808656036447e-05
F17	I25	548	2029	3413	47889	1.495814053276783e-176	1.6270745200130167e-06	4.718516108037749e-05
E79	I10	773	1494	9454	47889	2.5438889296642593e-173	1.6270745200130167e-06	4.88122356003905e-05
E11	E66	510	2667	2365	47889	2.83867091616025e-166	1.6270745200130167e-06	5.043931012040352e-05
N13	N23	130	457	415	47889	2.569536242890193e-162	1.6270745200130167e-06	5.2066384640416536e-05
F17	J44	334	2029	1441	47889	8.94752704535266e-152	1.6270745200130167e-06	5.369345916042955e-05
I10	I21	621	9454	1174	47889	1.4319504286442943e-144	1.6270745200130167e-06	5.532053368044257e-05
E11	I25	582	2667	3413	47889	9.151164061434516e-141	1.6270745200130167e-06	5.6947608200455584e-05
C34	C79	81	277	164	47889	1.3283988090452097e-139	1.6270745200130167e-06	5.8574682720468604e-05
E11	E14	309	2667	1057	47889	1.0719698054085214e-136	1.6270745200130167e-06	6.020175724048162e-05
E66	G47	321	2365	1319	47889	2.1674097889842367e-132	1.6270745200130167e-06	6.182883176049463e-05
E14	I10	556	1057	9454	47889	7.727923594926665e-128	1.6270745200130167e-06	6.345590628050765e-05
E78	K76	658	6353	1937	47889	3.2289396599049554e-126	1.6270745200130167e-06	6.508298080052067e-05
F17	I21	273	2029	1174	47889	2.270759806199419e-123	1.6270745200130167e-06	6.671005532053368e-05
J32	J33	90	532	203	47889	3.2982154123899595e-121	1.6270745200130167e-06	6.83371298405467e-05
I26	I80	92	276	411	47889	4.056987504191547e-121	1.6270745200130167e-06	6.996420436055972e-05
I70	I73	127	687	507	47889	1.536840572997623e-119	1.6270745200130167e-06	7.159127888057274e-05
I20	I21	217	1265	1174	47889	2.764892449017605e-118	1.6270745200130167e-06	7.321835340058575e-05
I25	I50	228	3413	537	47889	3.899829932995053e-117	1.6270745200130167e-06	7.484542792059877e-05
E66	E79	318	2365	1494	47889	9.128962248666658e-114	1.6270745200130167e-06	7.647250244061179e-05
N40	N41	138	1643	330	47889	6.377727068983601e-112	1.6270745200130167e-06	7.80995769606248e-05
I42	I48	138	492	1068	47889	3.324468756219635e-110	1.6270745200130167e-06	7.972665148063782e-05
