ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
K21	K44	550	1894	1385	60691	0.0	1.12943302462164e-06	1.12943302462164e-06
K21	K29	704	1894	3186	60691	0.0	1.12943302462164e-06	2.25886604924328e-06
F10	K70	379	2233	558	60691	0.0	1.12943302462164e-06	3.3882990738649195e-06
M23	M94	343	3159	423	60691	0.0	1.12943302462164e-06	4.51773209848656e-06
E11	I10	2245	3767	13488	60691	0.0	1.12943302462164e-06	5.6471651231082e-06
E78	I20	989	7892	1733	60691	0.0	1.12943302462164e-06	6.776598147729839e-06
E78	I21	876	7892	1489	60691	0.0	1.12943302462164e-06	7.906031172351479e-06
N13	N20	431	589	1430	60691	0.0	1.12943302462164e-06	9.03546419697312e-06
E78	I10	4617	7892	13488	60691	0.0	1.12943302462164e-06	1.9200361418567877e-05
I21	I25	1053	1489	4830	60691	0.0	1.12943302462164e-06	2.032979444318952e-05
I10	I25	3008	13488	4830	60691	0.0	1.12943302462164e-06	1.3553196295459678e-05
I20	I25	1132	1733	4830	60691	0.0	1.12943302462164e-06	1.242376327083804e-05
E66	E78	1340	3381	7892	60691	0.0	1.12943302462164e-06	1.4682629320081318e-05
E66	I10	2249	3381	13488	60691	0.0	1.12943302462164e-06	1.5812062344702958e-05
M51	M54	708	2411	2868	60691	0.0	1.12943302462164e-06	1.807092839394624e-05
K29	K44	598	3186	1385	60691	0.0	1.12943302462164e-06	1.69414953693246e-05
N20	N23	296	1430	479	60691	0.0	1.12943302462164e-06	1.12943302462164e-05
E78	I25	2586	7892	4830	60691	0.0	1.12943302462164e-06	1.016489722159476e-05
M17	M23	513	1261	3159	60691	1e-323	1.12943302462164e-06	2.1459227467811157e-05
E78	F17	1204	7892	3023	60691	4.3671e-319	1.12943302462164e-06	2.25886604924328e-05
E78	E79	885	7892	1780	60691	5.1901e-319	1.12943302462164e-06	2.3718093517054437e-05
I10	I20	1105	13488	1733	60691	4.893308289456e-311	1.12943302462164e-06	2.484752654167608e-05
E66	G47	622	3381	2024	60691	3.269751753224824e-294	1.12943302462164e-06	2.5976959566297717e-05
E11	E78	1309	3767	7892	60691	1.4685793227776219e-277	1.12943302462164e-06	2.7106392590919356e-05
I42	I50	235	733	793	60691	7.511241993441123e-264	1.12943302462164e-06	2.8235825615540998e-05
F17	J44	556	3023	2188	60691	9.898478778146136e-241	1.12943302462164e-06	2.9365258640162636e-05
F17	I25	830	3023	4830	60691	1.1769754863731755e-240	1.12943302462164e-06	3.0494691664784278e-05
J32	J34	223	684	899	60691	8.793523558947994e-238	1.12943302462164e-06	3.1624124689405916e-05
N13	N23	177	589	479	60691	4.7567975111001804e-235	1.12943302462164e-06	3.275355771402756e-05
M22	M23	241	335	3159	60691	6.420072222246561e-231	1.12943302462164e-06	3.38829907386492e-05
E11	E66	749	3767	3381	60691	4.0671213111768275e-223	1.12943302462164e-06	3.5012423763270835e-05
E79	I10	1006	1780	13488	60691	1.0604542678034057e-222	1.12943302462164e-06	3.614185678789248e-05
E11	E14	495	3767	1595	60691	1.1888101853970529e-211	1.12943302462164e-06	3.727128981251412e-05
M23	M24	232	3159	362	60691	1.3182401930605245e-203	1.12943302462164e-06	3.8400722837135753e-05
I10	I21	864	13488	1489	60691	4.35149236364765e-201	1.12943302462164e-06	3.9530155861757395e-05
