ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
F00	G30	369	370	693	47947	0.0	6.581978542749951e-07	6.581978542749951e-07
I21	I25	935	1266	7565	47947	0.0	6.581978542749951e-07	1.3163957085499902e-06
K29	K44	454	2579	934	47947	0.0	6.581978542749951e-07	3.2909892713749756e-06
I10	I48	3742	18827	5621	47947	0.0	6.581978542749951e-07	3.949187125649971e-06
E78	I10	5523	6831	18827	47947	0.0	6.581978542749951e-07	6.581978542749951e-06
I48	I50	1151	5621	2463	47947	0.0	6.581978542749951e-07	5.923780688474956e-06
E11	I10	4336	5846	18827	47947	0.0	6.581978542749951e-07	1.9745935628249854e-06
I20	I25	1029	1407	7565	47947	0.0	6.581978542749951e-07	2.6327914170999805e-06
E66	I10	1578	1883	18827	47947	0.0	6.581978542749951e-07	7.898374251299941e-06
E78	I25	3009	6831	7565	47947	0.0	6.581978542749951e-07	7.240176397024946e-06
H25	H35	872	5860	1624	47947	0.0	6.581978542749951e-07	5.265582834199961e-06
I10	I25	5463	18827	7565	47947	0.0	6.581978542749951e-07	4.607384979924966e-06
K57	K63	649	2682	2118	47947	4.302590405947e-312	6.581978542749951e-07	8.556572105574937e-06
I25	I50	1159	7565	2463	47947	1.6684392513006e-311	6.581978542749951e-07	9.214769959849932e-06
I42	I50	459	1128	2463	47947	1.5138392308166022e-294	6.581978542749951e-07	9.872967814124926e-06
N18	I10	1903	2580	18827	47947	1.1926672309980064e-292	6.581978542749951e-07	1.0531165668399922e-05
K21	K29	474	1181	2579	47947	1.1361464376220374e-291	6.581978542749951e-07	1.1189363522674918e-05
I25	I48	1902	7565	5621	47947	1.8786433693508334e-284	6.581978542749951e-07	1.1847561376949912e-05
K21	K44	315	1181	934	47947	3.034095468804212e-274	6.581978542749951e-07	1.2505759231224907e-05
E11	I25	1895	5846	7565	47947	1.0834733112061574e-255	6.581978542749951e-07	1.3163957085499902e-05
E11	E78	1766	5846	6831	47947	1.993739843594158e-252	6.581978542749951e-07	1.3822154939774898e-05
M51	M54	386	1163	1894	47947	1.2358270574270345e-251	6.581978542749951e-07	1.4480352794049893e-05
N13	N20	214	609	657	47947	7.118426553719819e-248	6.581978542749951e-07	1.5138550648324887e-05
I34	I35	302	989	1232	47947	3.1871551610993885e-241	6.581978542749951e-07	1.5796748502599883e-05
E11	E14	734	5846	1686	47947	4.3763358288410236e-238	6.581978542749951e-07	1.645494635687488e-05
E78	I20	709	6831	1407	47947	1.7816373041791826e-235	6.581978542749951e-07	1.7113144211149875e-05
K29	K57	620	2579	2682	47947	7.87398595781053e-232	6.581978542749951e-07	1.7771342065424868e-05
E79	I10	1209	1525	18827	47947	6.596012001911042e-231	6.581978542749951e-07	1.8429539919699863e-05
M48	M51	259	808	1163	47947	2.9946791418112156e-218	6.581978542749951e-07	1.908773777397486e-05
N18	I50	576	2580	2463	47947	1.7429768236821528e-216	6.581978542749951e-07	1.9745935628249852e-05
I42	I48	542	1128	5621	47947	4.408462489892963e-207	6.581978542749951e-07	2.0404133482524848e-05
H25	H52	316	5860	404	47947	1.4342994530149294e-206	6.581978542749951e-07	2.1062331336799844e-05
E78	E79	705	6831	1525	47947	8.701766804276566e-206	6.581978542749951e-07	2.172052919107484e-05
I34	I48	501	989	5621	47947	3.654758811274312e-204	6.581978542749951e-07	2.2378727045349836e-05
N18	I25	1023	2580	7565	47947	2.1767928264268356e-200	6.581978542749951e-07	2.303692489962483e-05
I70	I73	361	1767	1553	47947	2.0504526713639057e-186	6.581978542749951e-07	2.3695122753899824e-05
J18	J44	559	2040	3378	47947	4.660751875056657e-186	6.581978542749951e-07	2.435332060817482e-05
I07	I34	144	226	989	47947	1.0383937159211059e-185	6.581978542749951e-07	2.5011518462449813e-05
I10	I20	1074	18827	1407	47947	2.487052746044629e-181	6.581978542749951e-07	2.566971631672481e-05
N20	N23	116	657	162	47947	6.76256759893636e-181	6.581978542749951e-07	2.6327914170999805e-05
I25	I35	618	7565	1232	47947	3.536321642215637e-179	6.581978542749951e-07	2.69861120252748e-05
E66	E78	761	1883	6831	47947	4.369670057589671e-179	6.581978542749951e-07	2.7644309879549797e-05
E14	I10	1228	1686	18827	47947	4.681517124763948e-178	6.581978542749951e-07	2.830250773382479e-05
F17	J44	348	837	3378	47947	6.323197943378646e-178	6.581978542749951e-07	2.8960705588099785e-05
I10	J44	2102	18827	3378	47947	7.400837632322145e-172	6.581978542749951e-07	2.961890344237478e-05
M48	M54	268	808	1894	47947	7.5174122178526e-172	6.581978542749951e-07	3.0277101296649774e-05
E11	E66	688	5846	1883	47947	3.277900194056585e-171	6.581978542749951e-07	3.093529915092477e-05
J44	J96	257	3378	462	47947	1.6898939600552966e-170	6.581978542749951e-07	3.1593497005199766e-05
I84	K57	286	717	2682	47947	4.083227550428532e-167	6.581978542749951e-07	3.225169485947476e-05
N18	E11	828	2580	5846	47947	6.39942589129849e-167	6.581978542749951e-07	3.290989271374976e-05
I10	I63	1156	18827	1594	47947	6.106355077422026e-165	6.581978542749951e-07	3.3568090568024754e-05
I34	I50	314	989	2463	47947	6.795332578244993e-161	6.581978542749951e-07	3.422628842229975e-05
E78	I65	635	6831	1501	47947	2.7022716135541492e-160	6.581978542749951e-07	3.488448627657474e-05
I10	I65	1094	18827	1501	47947	1.4101523561207659e-158	6.581978542749951e-07	3.5542684130849735e-05
E78	I21	569	6831	1266	47947	7.0119640507111215e-158	6.581978542749951e-07	3.620088198512473e-05
E11	H36	215	5846	252	47947	3.0684162718591485e-156	6.581978542749951e-07	3.685907983939973e-05
I50	J44	573	2463	3378	47947	2.711003955379345e-154	6.581978542749951e-07	3.751727769367472e-05
E66	G47	284	1883	1076	47947	4.561500766365336e-153	6.581978542749951e-07	3.817547554794972e-05
C18	C78	164	829	580	47947	4.5118363408650105e-151	6.581978542749951e-07	3.8833673402224715e-05
I10	I50	1590	18827	2463	47947	3.1060551144541675e-149	6.581978542749951e-07	3.9491871256499704e-05
C78	C79	132	580	426	47947	8.049428151114614e-149	6.581978542749951e-07	4.01500691107747e-05
J43	J44	231	431	3378	47947	3.490934252737105e-148	6.581978542749951e-07	4.0808266965049696e-05
I26	I80	144	580	573	47947	5.434619717455875e-148	6.581978542749951e-07	4.146646481932469e-05
K29	K63	442	2579	2118	47947	7.231828485663371e-143	6.581978542749951e-07	4.212466267359969e-05
N18	D64	298	2580	971	47947	3.24275119085396e-142	6.581978542749951e-07	4.2782860527874684e-05
E78	I63	630	6831	1594	47947	1.3862099265103248e-141	6.581978542749951e-07	4.344105838214968e-05
H35	H36	142	1624	252	47947	5.638349726260955e-140	6.581978542749951e-07	4.4099256236424676e-05
M17	M23	225	1865	734	47947	1.1744687791386353e-136	6.581978542749951e-07	4.475745409069967e-05
I25	I34	487	7565	989	47947	2.1277812828289922e-136	6.581978542749951e-07	4.541565194497466e-05
I10	I73	1085	18827	1553	47947	9.355872455211811e-136	6.581978542749951e-07	4.607384979924966e-05
M17	M22	120	1865	159	47947	7.334406500964156e-135	6.581978542749951e-07	4.673204765352465e-05
H25	H40	369	5860	767	47947	3.276750642485063e-134	6.581978542749951e-07	4.739024550779965e-05
E11	I73	555	5846	1553	47947	4.0129868191508296e-132	6.581978542749951e-07	4.8048443362074645e-05
N39	N40	570	1954	4838	47947	4.097425269400289e-129	6.581978542749951e-07	4.870664121634964e-05
N18	I48	738	2580	5621	47947	2.14449718185996e-127	6.581978542749951e-07	4.936483907062464e-05
I63	I65	278	1594	1501	47947	1.066427848440993e-126	6.581978542749951e-07	5.0023036924899626e-05
I25	J44	1061	7565	3378	47947	1.9908278697864385e-123	6.581978542749951e-07	5.068123477917462e-05
I25	I42	504	7565	1128	47947	6.456456095575285e-120	6.581978542749951e-07	5.133943263344962e-05
M47	M54	225	852	1894	47947	6.791492156152448e-120	6.581978542749951e-07	5.1997630487724614e-05
C61	C79	169	2007	426	47947	3.5067190449257262e-118	6.581978542749951e-07	5.265582834199961e-05
K44	K57	271	934	2682	47947	3.981479115725828e-118	6.581978542749951e-07	5.3314026196274606e-05
M48	M99	100	808	218	47947	1.624477406258808e-117	6.581978542749951e-07	5.39722240505496e-05
M42	M54	141	294	1894	47947	3.072033510487351e-116	6.581978542749951e-07	5.46304219048246e-05
I10	I35	875	18827	1232	47947	1.1658952076693149e-115	6.581978542749951e-07	5.5288619759099594e-05
I10	I67	859	18827	1204	47947	2.494069595606957e-115	6.581978542749951e-07	5.594681761337458e-05
E11	I50	709	5846	2463	47947	7.3080365758179445e-115	6.581978542749951e-07	5.660501546764958e-05
N18	N19	204	2580	553	47947	4.352846515052969e-114	6.581978542749951e-07	5.7263213321924575e-05
E11	I48	1247	5846	5621	47947	1.2642245799245532e-112	6.581978542749951e-07	5.792141117619957e-05
I65	I73	254	1501	1553	47947	1.3771841884613906e-108	6.581978542749951e-07	5.857960903047457e-05
M42	M47	106	294	852	47947	2.7306909469731666e-108	6.581978542749951e-07	5.923780688474956e-05
C77	C78	93	286	580	47947	3.381950190486785e-106	6.581978542749951e-07	5.989600473902456e-05
I63	I69	186	1594	757	47947	5.34017594012751e-106	6.581978542749951e-07	6.055420259329955e-05
K80	K85	126	2000	246	47947	1.3711748982050982e-105	6.581978542749951e-07	6.121240044757455e-05
M54	M99	118	1894	218	47947	1.7836426409025192e-105	6.581978542749951e-07	6.187059830184954e-05
C77	C79	85	286	426	47947	2.7041599758434328e-105	6.581978542749951e-07	6.252879615612454e-05
I10	K76	964	18827	1435	47947	2.737420456356159e-104	6.581978542749951e-07	6.318699401039953e-05
I25	I73	591	7565	1553	47947	3.831661336193771e-104	6.581978542749951e-07	6.384519186467452e-05
K80	K81	138	2000	314	47947	5.506354422568911e-104	6.581978542749951e-07	6.450338971894952e-05
I63	I64	180	1594	722	47947	1.1051570895463712e-103	6.581978542749951e-07	6.516158757322451e-05
D12	K57	226	738	2682	47947	1.4791891727753255e-103	6.581978542749951e-07	6.581978542749952e-05
C44	L57	90	959	181	47947	6.301790150412954e-103	6.581978542749951e-07	6.64779832817745e-05
E78	I48	1367	6831	5621	47947	9.129451054471304e-103	6.581978542749951e-07	6.713618113604951e-05
I50	J18	364	2463	2040	47947	3.759907872250985e-101	6.581978542749951e-07	6.77943789903245e-05
I48	J44	822	5621	3378	47947	1.2338983373656544e-100	6.581978542749951e-07	6.84525768445995e-05
M51	M99	99	1163	218	47947	1.2132043221735923e-99	6.581978542749951e-07	6.911077469887449e-05
N17	N18	185	525	2580	47947	2.3062743290123084e-99	6.581978542749951e-07	6.976897255314948e-05
I50	J90	171	2463	463	47947	6.869732011928387e-99	6.581978542749951e-07	7.042717040742448e-05
I10	I70	1125	18827	1767	47947	8.627432101904239e-99	6.581978542749951e-07	7.108536826169947e-05
M47	M51	165	852	1163	47947	2.5385398566063423e-98	6.581978542749951e-07	7.174356611597447e-05
I10	I21	862	18827	1266	47947	6.050419044797336e-98	6.581978542749951e-07	7.240176397024946e-05
F02	G20	62	69	975	47947	1.7498685027195884e-97	6.581978542749951e-07	7.305996182452446e-05
N18	E79	313	2580	1525	47947	1.9812307908606906e-97	6.581978542749951e-07	7.371815967879945e-05
C34	J44	202	517	3378	47947	1.5120428857190437e-96	6.581978542749951e-07	7.437635753307444e-05
E66	I25	657	1883	7565	47947	2.6351212218991604e-96	6.581978542749951e-07	7.503455538734945e-05
N40	N41	202	4838	389	47947	2.752721737898265e-96	6.581978542749951e-07	7.569275324162444e-05
N21	N40	143	200	4838	47947	7.790439711411485e-96	6.581978542749951e-07	7.635095109589944e-05
M42	M51	107	294	1163	47947	4.388090897759445e-95	6.581978542749951e-07	7.700914895017443e-05
I34	I36	73	989	115	47947	1.3022732518419886e-93	6.581978542749951e-07	7.766734680444943e-05
H43	H25	165	240	5860	47947	7.2214840275068215e-93	6.581978542749951e-07	7.832554465872442e-05
C67	D41	89	737	269	47947	1.1544963453722327e-92	6.581978542749951e-07	7.898374251299941e-05
I48	I51	273	5621	621	47947	5.920585280558732e-92	6.581978542749951e-07	7.964194036727441e-05
M47	M48	137	852	808	47947	1.5015570529422428e-91	6.581978542749951e-07	8.03001382215494e-05
M23	M94	59	734	80	47947	5.798326959439134e-90	6.581978542749951e-07	8.09583360758244e-05
I25	I70	616	7565	1767	47947	5.819769487525355e-90	6.581978542749951e-07	8.161653393009939e-05
I34	I42	165	989	1128	47947	6.526706523930782e-90	6.581978542749951e-07	8.22747317843744e-05
C34	D38	77	517	255	47947	6.610055180093748e-89	6.581978542749951e-07	8.293292963864938e-05
